AREA,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,9386034,9368101.787720438,9348434.153261628,9327065.108571073,9304035.83391454,9279387.096540803,9253158.079507815,9224988.030870402,9194888.991731076,9162876.69888551,9128964.377841126,9093162.786219908,9055480.253609525,9015922.718030985,8974493.759092905,8931194.627834331,8886024.273464773,8838979.366933953,8790054.321471673,8739241.31010614,8686530.280295618,8631908.96560219,8575362.894539066,8516875.396652713,8456427.605751196,8393998.460472144,8329564.702090313,8263100.869676659,8194579.292581912,8123970.080255569,8051241.10948657,7976358.0089806765,7899284.141363924,7819980.582565783,7738406.098594509,7654517.119743284,7568267.712168176,7479609.546816729,7388491.865795467,7294861.446075649,7198662.56047805,7099836.936098379,6998323.709901672,6894059.3816916095,6786977.764247231,6677009.930732045,6564084.159199514,6448125.874302705,6329057.586028419,6206798.825545228,6081266.077979545,5952372.712162001,5820028.907269363
BUSAN,3293362,3279039.818244004,3264198.8846217743,3248788.502842039,3232802.1330366707,3216219.8517711125,3199031.735698406,3180877.657384196,3161743.295791006,3141627.6124016503,3120517.7992176553,3098406.6842853874,3075280.5905744005,3051127.7530146493,3025932.4252269734,2999678.9400716503,2972348.838489259,2943922.8169932095,2914379.31658724,2883695.4434336657,2851846.261278914,2818805.211206324,2784543.740892471,2749031.4777945015,2712236.017474291,2674122.97319047,2634655.83679499,2593795.9638560284,2551502.4650148395,2507732.1549473656,2462439.453268879,2415576.3106153104,2367092.1085668644,2316933.5687997336,2265044.6464212798,2211366.4245479135,2155836.997757842,2098391.35263115,2038961.2391312832,1977475.0366229904,1913857.6114422926,1848030.1674972568,1779910.0883449118,1709410.77109083,1636441.4512703614,1560907.0185390369,1482707.8225590521,1401739.468731213,1317892.6031496888,1231052.6863304172,1141099.7551292875,1047908.1722113872,951346.3625526471
DAEGU,2374960,2367110.377575552,2358722.3298193426,2349767.834360122,2340264.6449226257,2330214.8770374306,2319628.0824578,2308299.2205985505,2296212.433970747,2283368.027743303,2269753.7852757876,2255363.5969628263,2240185.313191883,2224208.6146642915,2207419.858580177,2189805.3932805494,2171349.360407956,2152035.0788762365,2131844.0947646312,2110756.7452593227,2088751.7333610938,2065806.3415336981,2041896.2251302751,2016995.4743967073,1991076.4967925274,1964110.0111475717,1936064.9637752362,1906908.4898845963,1876605.8399139876,1845120.322814514,1812413.2322178157,1778443.7774692175,1743169.0049159632,1706543.7187349058,1668520.395021901,1629049.092847216,1588077.3596487355,1545550.1323221326,1501409.632810924,1455595.2585765568,1408043.4673953129,1358687.65640525,1307458.0350667175,1254281.4917872516,1199081.4540176857,1141777.7413567193,1082286.4115737043,1020519.59897247,956385.345055789,889787.4208074904,820625.1405384567,748793.1667013249,674181.3052865244
INCHEON,2997410,2992850.439328103,2987865.323080492,2982360.916607838,2976340.3861249397,2969769.860813311,2962642.9689205037,2954447.3495231974,2945153.1406894135,2934762.6836060043,2923257.340931574,2910634.301150874,2896873.259714725,2881959.867978197,2865870.6344569544,2848584.3914428214,2830073.310850919,2810309.6385280406,2789260.320759633,2766890.9292692123,2743162.415665419,2718033.3642838374,2691457.996066192,2663387.4211703287,2633768.3711847686,2602543.847981476,2569652.2744625956,2535027.772881421,2498599.5493428,2460291.937944935,2420023.9078805773,2377708.952416439,2333254.6508507975,2286562.4468358164,2237527.2229223787,2186036.9923537527,2131972.458633553,2075206.6322499164,2015604.3561540435,1953021.851179,1887306.1929059615,1818294.7845696427,1745814.7729303227,1669682.444164842,1589702.5673039719,1505667.7059191833,1417357.4776108842,1324537.7723567828,1226959.915916238,1124359.7835713264,1016456.8545006098,902953.207800325,783532.4529879444
GWANGJU,1419237,1416153.2581307406,1412757.2333852598,1409028.0038145063,1404976.259092592,1400602.6595418493,1395915.042959268,1390811.0299929099,1385283.9076210463,1379334.393101204,1372955.999049798,1366146.4853725978,1358898.8573645381,1351208.3964650102,1343067.1188307956,1334468.0871145818,1325401.9942718244,1315859.8025336869,1305830.631718249,1295303.3682867861,1284265.3536018545,1272703.3580755657,1260602.7591122983,1247948.1229602257,1234722.6814852224,1220908.6706546573,1206486.9886280813,1191437.3822226082,1175738.2138767536,1159366.5519894038,1142298.0019907546,1124506.7346570694,1105965.3534966612,1086644.8817033544,1066514.6484623158,1045542.2469282891,1023693.4284162605,1000932.0386363192,977219.9126196401,952516.7932555402,926780.2221057671,899965.4422941582,872025.2817626658,842910.0412634056,812567.3673997467,780942.1256223513,747976.2608503771,713608.6547881407,677774.9721426476,640407.5010331757,601434.9829220134,560782.4347595859,518370.96041165025
DAEJEON,1442216,1439931.8865311167,1437376.9604086764,1434533.3611170705,1431412.4177705334,1428010.522884846,1424334.221481239,1420227.5638591384,1415689.892645819,1410724.5110047597,1405329.975090187,1399507.9571997635,1393256.1595445296,1386574.7114503,1379460.4020698962,1371911.8844289328,1363924.9810313121,1355496.916722596,1346622.4969897573,1337297.5502330742,1327515.8158548144,1317271.7428948123,1306557.955328527,1295367.5266305187,1283691.9143955135,1271522.8080977525,1258850.4452403982,1245665.1114485948,1231955.7666820923,1217711.2620383524,1202919.2178638866,1187567.0096295837,1171640.850590331,1155126.5893131727,1138008.958334646,1120272.2179691521,1101899.5395684177,1082873.5237584647,1063175.69271286,1042786.9057092563,1021686.9395678164,999854.8200928916,977268.4737004568,953904.9898104158,929740.3298121828,904749.5326310624,878906.4696652055,852184.0035315534,824553.7796682925,795986.3462038343,766450.9747174728,735915.7477093324,704347.4022779255
ULSAN,1103661,1102478.2684731125,1101159.6036698613,1099684.4730801762,1098040.3361328973,1096222.7978741173,1094228.5483737274,1091938.1440607018,1089354.8868975632,1086481.6837091118,1083320.995556025,1079874.8429118318,1076144.809351012,1072132.044508834,1067837.2663044345,1063260.7624360167,1058402.3911429588,1053261.5812300039,1047837.3313626393,1042128.2086181119,1036132.3462989053,1029847.4409871643,1023270.7488487655,1016399.0811682065,1009228.7990987223,1001755.8076315926,993975.5487563031,985882.9937996982,977472.6349318988,968738.4758158211,959674.0213787624,950272.2666913331,940525.6849237005,930426.2143507431,919965.244389449,909133.6006274753,897921.5288188205,886318.677808669,874314.0813534582,861896.1388016226,849052.5945857896,835770.5164900296,822036.2726469685,807835.5072127504,793153.1146738669,777973.2127264136,762279.1136753971,746053.294294291,729277.3640767306,711932.0318254753,693997.0704899699,675451.2801975372,656272.4493915536
SEJONG,386525,387768.6730978468,388926.09728346404,389994.72963785275,390971.82437451795,391854.4115780704,392639.2743844967,393229.5871711348,393615.3130383666,393785.30227672873,393727.1566755065,393427.0797860453,392869.71107820235,392037.94175810023,390916.4595668348,389487.9555975564,387732.6072530938,385627.80201726337,383147.82730937377,380263.5223920004,376941.8878314682,373145.64742451196,368832.7569606095,363955.8534399742,358461.63766279636,352290.18221993785,345374.1559539091,337637.9549262244,328996.7286770692,319355.289255368,308606.8889890648,296631.8512707362,283296.036739421,268449.1251672382,251922.69092688125,233528.04734390203,213053.8322000825,190263.30336061434,164891.30981923215,136640.89913927758,105179.5178829673,70134.75596850939,31089.58048677307,-12423.00232589175,-60925.92560794143,-115004.75753291686,-175315.2003492252,-242591.48888346722,-317655.79660954396,-401428.7700472061,-494941.32680580777,-599347.8688611448,-715941.0808083059
GYEONGGI,13630821,13620285.54053663,13607456.129720164,13591982.839432128,13573833.082478922,13552854.267233664,13529012.032077255,13500784.733695423,13468114.346811049,13431001.16436843,13389377.762089038,13343218.866821805,13292448.794414306,13237017.846880494,13176837.324635675,13111833.802032372,13041902.70245671,12966946.804531617,12886843.021381544,12801469.658490919,12710682.577657927,12614334.422815815,12512257.445324726,12404276.985249912,12290199.014938045,12169819.501420697,12042915.28101947,11909250.457070405,11768569.613647865,11620602.066725833,11465056.70646558,11301624.680098094,11129975.352185689,10949757.826130787,10760597.653792381,10562097.48008747,10353834.233492434,10135359.090439593,9906194.949221525,9665835.847268106,9413744.570717875,9149351.611842752,8872052.800770517,8581207.85694126,8276137.953033794,7956123.888511805,7620403.512003535,7268169.526926412,6898566.707389098,6510689.330235518,6103578.1261772495,5676217.320361483,5227531.262965001
GANGWON,1527807,1519459.8480590298,1510768.138599083,1501716.4458969699,1492318.6874879207,1482574.0693519658,1472490.8559382022,1461941.0972965849,1450917.526622615,1439418.9113450984,1427437.5034992015,1414969.6489451185,1402006.7780175447,1388543.0107494658,1374568.686155646,1360075.8110771389,1345053.4095496794,1329491.4232945216,1313377.3655967591,1296699.1095691228,1279442.4765466005,1261593.2249030373,1243135.307388806,1224052.284763276,1204326.0613953623,1183937.8844578115,1162867.420805671,1141093.4568842698,1118593.2184365103,1095342.853531628,1071316.9241905366,1046488.7314785118,1020829.9280175654,994310.7270568671,966899.5989508773,938563.3941041953,909267.0965658291,878973.8819744952,847644.9086995648,815239.3254846531,781714.0857361534,747023.9150887551,711121.1379975508,673955.6120667134,635474.5587607482,595622.4688422043,554340.9307304075,511568.509661868,467240.56847672263,421289.1215993232,373642.64384411357,324225.89937888377,272959.7345308606
CHUNGBUK,1593469,1586781.7951942591,1579695.790370774,1572190.7362923205,1564282.8470881265,1555975.2700719777,1547275.9819243185,1538037.1337960763,1528249.4127195172,1517914.5095096768,1507023.288240414,1495570.2516939763,1483545.5559988841,1470940.8896613473,1457745.0845148738,1443947.325228823,1429534.7292566078,1414494.0907435445,1398810.5374038396,1382468.468592974,1365450.7999493831,1347739.4570997963,1329314.9397029788,1310156.5686868464,1290242.2223424502,1269548.4452967346,1248050.2756061999,1225721.2744565562,1202533.3994984874,1178456.9872867176,1153460.6479429274,1127511.2174642668,1100573.6596898192,1072610.9974301856,1043584.213494342,1013452.1651416183,982171.479156303,949696.4514396301,915978.9328521143,880968.2143260158,844610.9010180206,806850.7824239109,767628.6927693776,726882.3651508709,684546.2760922336,640551.4823223224,594825.4475455802,547291.8599781177,497870.43932110147,446476.7329912509,393021.9008896137,337412.488096301,279550.18481287645
CHUNGNAM,2130119,2120592.941870181,2110567.378439799,2100005.969220515,2088911.684324183,2077275.6134454,2065108.6031020659,2052205.8910329333,2038554.5292117577,2024150.6865389298,2008981.1095063125,1993038.2533130918,1976307.8912462762,1958779.214802248,1940436.5485897257,1921266.0882391213,1901250.3561862444,1880372.6920552969,1858613.5377440352,1835953.4248157616,1812370.4798953626,1787842.4063275547,1762344.8029524477,1735852.4720980301,1708338.2797476668,1679774.0115514495,1650129.5926469392,1619373.63950802,1587472.9178388047,1554392.6889552742,1520096.3241635263,1484545.5115252663,1447699.9721197763,1409517.5706787102,1369954.0971307908,1328963.3100500782,1286496.758685031,1242503.7782030522,1196931.3353169684,1149723.9878539217,1100823.742342024,1050169.985797341,997699.3472586601,943345.6066778352,887039.5545263081,828708.8807274246,768278.0280323373,705668.062344293,640796.5164866095,573577.2424619227,503920.2427670885,431731.5041374657,356912.81411086867
JEONBUK,1754757,1743970.0382966907,1732800.2766288605,1721223.743183752,1709246.4361919474,1696867.089541649,1684092.2120718644,1670746.7198389845,1656818.9630182274,1642303.217898506,1627187.3533524943,1611463.0294698018,1595117.2321257296,1578139.2549316473,1560514.8915595503,1542231.2124576047,1523272.577188074,1503623.8989046232,1483267.9026357613,1462187.3523342735,1440363.1616749812,1417775.9089450121,1394404.5306646915,1370227.3471275286,1345221.153973051,1319361.9108927646,1292624.1043513303,1264981.2038595926,1236405.208828785,1206866.9438493997,1176335.7298447913,1144779.5671516557,1112164.8898519909,1078456.6698509147,1043618.2260657573,1007611.2720787537,970395.7605305931,931929.8896086633,892169.9689148334,851070.3950715078,808583.5294203168,764659.6493380527,719246.8310334561,672290.8809216898,623735.2182507674,573520.789298792,521585.9460969153,467866.3447624116,412294.8173511939,354801.2548710068,295312.46980736905,233752.0637878568,170040.27850416745
JEONNAM,1804217,1791980.469792316,1779428.4819991076,1766538.9441509277,1753307.0204540233,1739720.1529288515,1725770.9390099072,1711168.464644741,1695904.6117875075,1679974.7567876445,1663369.8655686,1646082.9820495942,1628103.890837744,1609423.49242934,1590030.1976294243,1569912.8758470411,1549058.4172795825,1527453.7174283725,1505084.0264786405,1481934.282582134,1457987.991533744,1433228.1197109886,1407636.330721174,1381193.5802285855,1353879.5925782323,1325673.2534430223,1296552.2473906241,1266493.3131335457,1235471.9886006813,1203462.7723939165,1170438.9403264327,1136372.6424317355,1101234.7665852034,1064994.9907403213,1027621.6770971301,989081.8929046129,949341.3238221552,908364.2721631303,866113.5818234697,822550.6197130416,777635.2070456214,731325.5878820353,683578.362964869,634348.4478879634,583589.0069107872,531251.4022816044,477285.1261406923,421637.7418848891,364254.81273432117,305079.83552610886,244054.16486056865,181116.93952486676,116205.00118272206
GYEONGBUK,2554324,2539085.4036584897,2523359.0739123174,2507044.404690634,2490139.4907753286,2472637.730154985,2454545.6080648797,2435645.825732847,2415885.7547196047,2395259.6744076437,2373753.1347475247,2351356.5924501964,2328054.403020189,2303833.666213975,2278677.0718378895,2252568.633653075,2225489.0354227317,2197419.3432374485,2168337.9731807434,2138223.08959065,2107050.6239521597,2074795.8183632162,2041431.9250935414,2006931.1934432932,1971264.0093536433,1934399.5190695834,1896305.052445618,1856946.5088110925,1816287.9624812254,1774291.8919663613,1730918.9015729935,1686127.8467186603,1639875.6283947874,1592117.2485134194,1542805.6491552047,1491891.7197503098,1439324.1626189826,1385049.466020621,1329011.783625271,1271152.8822498391,1211412.0271015333,1149725.90959865,1086028.5328540553,1020251.1227294651,952322.009511299,882166.5240962928,809706.8728960394,734862.0198730018,657547.5523470949,577675.5490251703,495154.4348024998,409888.8343044969,321779.41402651276
GYEONGNAM,3251158,3236905.559534581,3222008.3357416503,3206419.8870502966,3190168.0577311395,3173259.0457148533,3155711.578148003,3137203.4101684424,3117721.2444622912,3097262.5821586587,3075812.899039088,3053365.381719288,3029903.6482717446,3005416.8129013097,2979886.2789302026,2953297.2341618035,2925628.5524791838,2896861.561415104,2866972.3163243346,2835938.2827681103,2803732.421003226,2770328.27383509,2735695.431791223,2699803.4011739222,2662618.1215220224,2624104.899906099,2584225.7297844207,2542941.5096722418,2500209.9716724437,2455987.3509117034,2410226.777023202,2362879.521252841,2313893.738501765,2263215.388827593,2210787.2439901344,2156549.556829685,2100439.2662276663,2042390.470267638,1982333.7787914262,1920196.6325302091,1855902.7641785203,1789372.3953304375,1720521.7756810766,1649263.2817037904,1575505.0103133386,1499150.7970137668,1420099.8454078746,1338246.677790735,1253480.78572732,1165686.5224463143,1074742.7625192078,980522.7423804771,882893.719241003
JEJU,675252,673558.7668418043,671794.9192758682,669945.8828493009,668008.5771918265,665972.828260554,663832.4548289904,661485.7250378439,658910.6930874739,656089.087605077,653001.9933340271,649635.6493099835,645982.2095794341,642037.3608440699,637794.90600087,633249.1107749541,628392.7403667684,623218.639252734,617718.3927352503,611883.3862897502,605703.8887260419,599169.7577408525,592269.8069248429,584992.2701815302,577324.3591447956,569252.5625508948,560762.3306465026,551838.2608079329,542463.8657678324,532621.67998543,522293.0822465972,511458.3458673201,500096.49544439994,488185.3162333559,475701.2310447469,462619.278857226,448913.0020304309,434554.4005684744,419513.82260724524,403759.89826751914,387259.42818777944,369977.2991424264,351876.36659233744,332917.35301454115,313058.7211597609,292256.5551351313,270464.42148971796,247633.2323930925,223711.09189096707,198643.1399612677,172371.38131856016,144834.5086902879,115967.71147168966
