,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
ADD_UP,344080.9316911753,350675.7392647043,357270.5468382351,363865.35441176407,370460.16198529303,377054.969558822,383649.7771323528,390244.5847058818,396839.39227941073,403434.1998529397,410029.0074264705,416623.8149999995,423218.62257352844,429813.4301470574,436408.2377205882,443003.0452941172,449597.85286764614,456192.6604411751,462787.4680147059,469382.2755882349,475977.08316176385,482571.8907352928,489166.69830882363,495761.5058823526,502356.31345588155,508951.1210294105,515545.9286029395,522140.7361764703,528735.5437499993,535330.3513235282,541925.1588970572,548519.966470588,555114.774044117,561709.5816176459,568304.3891911749,574899.1967647057,581494.0043382347,588088.8119117636,594683.6194852926,601278.4270588234,607873.2346323524,614468.0422058813,621062.8497794103,627657.6573529411,634252.4649264701,640847.272499999,647442.080073528,654036.8876470588,660631.6952205878,667226.5027941167,673821.3103676457,680416.1179411765
SEOUL,51003.54411764699,51821.460784313735,52639.377450980246,53457.29411764699,54275.210784313735,55093.127450980246,55911.04411764699,56728.960784313735,57546.877450980246,58364.79411764699,59182.710784313735,60000.627450980246,60818.54411764699,61636.460784313735,62454.377450980246,63272.29411764699,64090.210784313735,64908.127450980246,65726.04411764699,66543.96078431373,67361.87745098025,68179.79411764699,68997.71078431373,69815.62745098025,70633.54411764699,71451.46078431373,72269.37745098025,73087.29411764699,73905.21078431373,74723.12745098025,75541.04411764699,76358.96078431373,77176.87745098025,77994.79411764699,78812.71078431373,79630.62745098025,80448.54411764699,81266.46078431373,82084.37745098025,82902.29411764699,83720.21078431373,84538.12745098025,85356.04411764699,86173.96078431373,86991.87745098025,87809.79411764699,88627.71078431373,89445.62745098025,90263.54411764699,91081.46078431373,91899.37745098025,92717.29411764699
BUSAN,25502.823529411806,25941.86274509807,26380.901960784337,26819.941176470602,27258.980392156867,27698.01960784325,28137.058823529514,28576.09803921578,29015.137254902045,29454.17647058831,29893.215686274576,30332.25490196084,30771.294117647107,31210.333333333372,31649.372549019638,32088.411764705903,32527.45098039217,32966.490196078434,33405.529411764815,33844.56862745108,34283.607843137346,34722.64705882361,35161.68627450988,35600.72549019614,36039.76470588241,36478.80392156867,36917.84313725494,37356.882352941204,37795.92156862747,38234.960784313735,38674.0,39113.03921568638,39552.07843137265,39991.11764705891,40430.15686274518,40869.19607843144,41308.23529411771,41747.274509803974,42186.31372549024,42625.352941176505,43064.39215686277,43503.431372549036,43942.4705882353,44381.509803921566,44820.54901960795,45259.58823529421,45698.62745098048,46137.666666666744,46576.70588235301,47015.745098039275,47454.78431372554,47893.823529411806
DAEGU,16195.889705882291,16506.7794117647,16817.66911764699,17128.558823529398,17439.44852941169,17750.338235294097,18061.22794117639,18372.117647058796,18683.007352941204,18993.897058823495,19304.786764705903,19615.676470588194,19926.566176470602,20237.455882352893,20548.3455882353,20859.235294117592,21170.125,21481.01470588229,21791.9044117647,22102.79411764699,22413.683823529398,22724.57352941169,23035.463235294097,23346.35294117639,23657.242647058796,23968.132352941204,24279.022058823495,24589.911764705903,24900.801470588194,25211.691176470602,25522.580882352893,25833.4705882353,26144.360294117592,26455.25,26766.13970588229,27077.0294117647,27387.91911764699,27698.808823529398,28009.69852941169,28320.588235294097,28631.47794117639,28942.367647058796,29253.257352941204,29564.147058823495,29875.036764705903,30185.926470588194,30496.816176470602,30807.705882352893,31118.5955882353,31429.485294117592,31740.375,32051.26470588229
INCHEON,18002.661764705903,18434.245098039275,18865.82843137253,19297.411764705903,19728.995098039275,20160.57843137253,20592.161764705903,21023.745098039275,21455.32843137253,21886.911764705903,22318.495098039275,22750.07843137253,23181.661764705903,23613.245098039275,24044.82843137253,24476.411764705903,24907.995098039275,25339.57843137253,25771.161764705903,26202.745098039275,26634.32843137253,27065.911764705903,27497.495098039275,27929.07843137253,28360.661764705903,28792.245098039275,29223.82843137253,29655.411764705903,30086.995098039275,30518.57843137253,30950.161764705903,31381.745098039275,31813.32843137253,32244.911764705903,32676.495098039275,33108.07843137253,33539.6617647059,33971.245098039275,34402.82843137253,34834.4117647059,35265.995098039275,35697.57843137253,36129.1617647059,36560.745098039275,36992.32843137253,37423.9117647059,37855.495098039275,38287.07843137253,38718.6617647059,39150.245098039275,39581.82843137253,40013.4117647059
GWANGJU,8836.544117647049,9008.637254901929,9180.730392156867,9352.823529411748,9524.916666666686,9697.009803921566,9869.102941176447,10041.196078431385,10213.289215686265,10385.382352941146,10557.475490196084,10729.568627450964,10901.661764705903,11073.754901960783,11245.848039215663,11417.941176470602,11590.034313725482,11762.127450980362,11934.220588235301,12106.313725490181,12278.40686274512,12450.5,12622.59313725488,12794.686274509819,12966.779411764699,13138.87254901958,13310.965686274518,13483.058823529398,13655.151960784278,13827.245098039217,13999.338235294097,14171.431372549036,14343.524509803916,14515.617647058796,14687.710784313735,14859.803921568615,15031.897058823495,15203.990196078434,15376.083333333314,15548.176470588252,15720.269607843133,15892.362745098013,16064.455882352951,16236.549019607832,16408.642156862712,16580.73529411765,16752.82843137253,16924.92156862747,17097.01470588235,17269.10784313723,17441.20098039217,17613.29411764705
DAEJEON,8591.742647058796,8763.602941176447,8935.463235294097,9107.323529411748,9279.183823529398,9451.044117647049,9622.904411764699,9794.76470588235,9966.625,10138.48529411765,10310.345588235301,10482.205882352951,10654.066176470602,10825.926470588252,10997.786764705903,11169.647058823553,11341.507352941146,11513.367647058796,11685.227941176447,11857.088235294097,12028.948529411748,12200.808823529398,12372.669117647049,12544.529411764699,12716.38970588235,12888.25,13060.11029411765,13231.970588235301,13403.830882352951,13575.691176470602,13747.551470588252,13919.411764705903,14091.272058823553,14263.132352941146,14434.992647058796,14606.852941176447,14778.713235294097,14950.573529411748,15122.433823529398,15294.294117647049,15466.154411764699,15638.01470588235,15809.875,15981.73529411765,16153.595588235301,16325.455882352951,16497.316176470602,16669.176470588252,16841.036764705903,17012.897058823553,17184.757352941146,17356.617647058796
ULSAN,6024.448529411777,6143.838235294126,6263.227941176476,6382.617647058854,6502.007352941204,6621.397058823553,6740.786764705903,6860.176470588252,6979.566176470602,7098.955882352951,7218.345588235301,7337.7352941176505,7457.125000000029,7576.514705882379,7695.904411764728,7815.294117647078,7934.683823529427,8054.073529411777,8173.463235294126,8292.852941176476,8412.242647058854,8531.632352941204,8651.022058823553,8770.411764705903,8889.801470588252,9009.191176470602,9128.580882352951,9247.970588235301,9367.36029411765,9486.75000000003,9606.139705882379,9725.529411764728,9844.919117647078,9964.308823529427,10083.698529411777,10203.088235294126,10322.477941176476,10441.867647058854,10561.257352941204,10680.647058823553,10800.036764705903,10919.426470588252,11038.816176470602,11158.205882352951,11277.595588235301,11396.98529411765,11516.37500000003,11635.764705882379,11755.154411764728,11874.544117647078,11993.933823529427,12113.323529411777
SEJONG,1677.9096323529375,1755.1265196078457,1832.343406862754,1909.5602941176621,1986.7771813725412,2063.9940686274495,2141.2109558823577,2218.427843137266,2295.644730392145,2372.861617647053,2450.0785049019614,2527.2953921568696,2604.512279411778,2681.729166666657,2758.946053921565,2836.1629411764734,2913.3798284313816,2990.59671568629,3067.813602941169,3145.030490196077,3222.2473774509854,3299.4642647058936,3376.6811519607727,3453.898039215681,3531.114926470589,3608.3318137254973,3685.5487009804056,3762.7655882352847,3839.982475490193,3917.199362745101,3994.4162500000093,4071.6331372548884,4148.850024509797,4226.066911764705,4303.283799019613,4380.500686274521,4457.7175735294,4534.934460784309,4612.151348039217,4689.368235294125,4766.585122549033,4843.802009803912,4921.018897058821,4998.235784313729,5075.452671568637,5152.669558823516,5229.886446078424,5307.103333333333,5384.320220588241,5461.537107843149,5538.753995098028,5615.970882352936
GYEONGGI,73524.41911764676,75469.60294117639,77414.78676470555,79359.97058823518,81305.15441176435,83250.33823529398,85195.52205882315,87140.70588235278,89085.88970588241,91031.07352941157,92976.2573529412,94921.44117647037,96866.625,98811.80882352917,100756.9926470588,102702.17647058796,104647.36029411759,106592.54411764676,108537.72794117639,110482.91176470555,112428.09558823518,114373.27941176435,116318.46323529398,118263.64705882315,120208.83088235278,122154.01470588241,124099.19852941157,126044.3823529412,127989.56617647037,129934.75,131879.93382352917,133825.1176470588,135770.30147058796,137715.4852941176,139660.66911764676,141605.8529411764,143551.03676470555,145496.22058823518,147441.40441176435,149386.58823529398,151331.77205882315,153276.95588235278,155222.1397058824,157167.32352941157,159112.5073529412,161057.69117647037,163002.875,164948.05882352917,166893.2426470588,168838.42647058796,170783.6102941176,172728.79411764676
GANGWON,13713.602941176447,13944.73529411765,14175.867647058796,14407.0,14638.132352941146,14869.26470588235,15100.397058823495,15331.529411764699,15562.661764705903,15793.794117647049,16024.926470588252,16256.058823529398,16487.191176470602,16718.323529411748,16949.45588235295,17180.588235294097,17411.7205882353,17642.852941176447,17873.98529411765,18105.117647058796,18336.25,18567.382352941146,18798.51470588235,19029.647058823495,19260.7794117647,19491.911764705903,19723.04411764705,19954.176470588252,20185.308823529398,20416.441176470602,20647.573529411748,20878.70588235295,21109.838235294097,21340.9705882353,21572.102941176447,21803.23529411765,22034.367647058796,22265.5,22496.632352941146,22727.76470588235,22958.897058823495,23190.0294117647,23421.161764705903,23652.29411764705,23883.426470588252,24114.558823529398,24345.691176470602,24576.823529411748,24807.95588235295,25039.088235294097,25270.2205882353,25501.352941176447
CHUNGBUK,12990.257352941146,13213.044117647049,13435.830882352951,13658.617647058796,13881.404411764699,14104.191176470602,14326.977941176447,14549.76470588235,14772.551470588252,14995.338235294097,15218.125,15440.911764705903,15663.698529411748,15886.48529411765,16109.272058823553,16332.058823529398,16554.8455882353,16777.632352941146,17000.41911764705,17223.20588235295,17445.992647058796,17668.7794117647,17891.566176470602,18114.352941176447,18337.13970588235,18559.926470588252,18782.713235294097,19005.5,19228.286764705903,19451.073529411748,19673.86029411765,19896.647058823553,20119.433823529398,20342.2205882353,20565.007352941146,20787.79411764705,21010.58088235295,21233.367647058796,21456.1544117647,21678.941176470602,21901.727941176447,22124.51470588235,22347.301470588252,22570.088235294097,22792.875,23015.661764705903,23238.448529411748,23461.23529411765,23684.022058823553,23906.808823529398,24129.5955882353,24352.382352941146
CHUNGNAM,17882.29411764699,18184.431372549036,18486.568627450964,18788.705882352893,19090.843137254822,19392.980392156867,19695.117647058796,19997.254901960725,20299.39215686277,20601.5294117647,20903.666666666628,21205.803921568557,21507.941176470602,21810.07843137253,22112.21568627446,22414.352941176505,22716.490196078434,23018.627450980362,23320.76470588229,23622.901960784337,23925.039215686265,24227.176470588194,24529.313725490123,24831.45098039217,25133.588235294097,25435.725490196026,25737.86274509807,26040.0,26342.13725490193,26644.274509803858,26946.411764705903,27248.54901960783,27550.68627450976,27852.82352941169,28154.960784313735,28457.098039215663,28759.235294117592,29061.372549019638,29363.509803921566,29665.647058823495,29967.784313725424,30269.92156862747,30572.058823529398,30874.196078431327,31176.333333333372,31478.4705882353,31780.60784313723,32082.74509803916,32384.882352941204,32687.019607843133,32989.15686274506,33291.29411764699
JEONBUK,16328.13970588235,16557.024509803916,16785.909313725482,17014.79411764705,17243.678921568615,17472.56372549018,17701.448529411748,17930.333333333314,18159.21813725488,18388.102941176447,18616.987745098013,18845.87254901958,19074.757352941204,19303.64215686277,19532.526960784337,19761.411764705903,19990.29656862747,20219.181372549036,20448.066176470602,20676.95098039217,20905.835784313735,21134.7205882353,21363.605392156867,21592.490196078434,21821.375,22050.259803921566,22279.144607843133,22508.0294117647,22736.914215686265,22965.79901960783,23194.683823529398,23423.568627450964,23652.45343137253,23881.338235294097,24110.223039215663,24339.10784313723,24567.992647058796,24796.87745098042,25025.762254901987,25254.647058823553,25483.53186274512,25712.416666666686,25941.301470588252,26170.18627450982,26399.071078431385,26627.95588235295,26856.840686274518,27085.725490196084,27314.61029411765,27543.495098039217,27772.379901960783,28001.26470588235
JEONNAM,18916.5955882353,19131.583333333372,19346.571078431385,19561.558823529456,19776.54656862747,19991.534313725482,20206.522058823553,20421.509803921566,20636.497549019638,20851.48529411765,21066.47303921572,21281.460784313735,21496.448529411806,21711.43627450982,21926.42401960783,22141.411764705903,22356.399509803916,22571.387254901987,22786.375,23001.36274509807,23216.350490196084,23431.338235294155,23646.32598039217,23861.31372549024,24076.301470588252,24291.289215686265,24506.276960784337,24721.26470588235,24936.25245098042,25151.240196078434,25366.227941176505,25581.215686274518,25796.20343137259,26011.191176470602,26226.178921568673,26441.166666666686,26656.1544117647,26871.14215686277,27086.129901960783,27301.117647058854,27516.105392156867,27731.09313725494,27946.08088235295,28161.068627451023,28376.056372549036,28591.04411764705,28806.03186274512,29021.019607843133,29236.007352941204,29450.995098039217,29665.982843137288,29880.9705882353
GYEONGBUK,24799.580882352893,25157.083333333256,25514.58578431362,25872.088235294097,26229.59068627446,26587.093137254822,26944.595588235185,27302.098039215663,27659.600490196026,28017.10294117639,28374.60539215675,28732.10784313723,29089.610294117592,29447.112745097955,29804.615196078317,30162.117647058796,30519.62009803916,30877.12254901952,31234.624999999884,31592.127450980362,31949.629901960725,32307.132352941087,32664.63480392145,33022.13725490193,33379.63970588229,33737.142156862654,34094.64460784313,34452.147058823495,34809.64950980386,35167.15196078422,35524.6544117647,35882.15686274506,36239.659313725424,36597.16176470579,36954.664215686265,37312.16666666663,37669.66911764699,38027.17156862735,38384.67401960783,38742.176470588194,39099.67892156856,39457.18137254892,39814.6838235294,40172.18627450976,40529.68872549012,40887.191176470486,41244.693627450964,41602.19607843133,41959.69852941169,42317.20098039205,42674.70343137253,43032.20588235289
GYEONGNAM,25468.5955882353,25903.42647058831,26338.257352941204,26773.088235294097,27207.919117647107,27642.75,28077.58088235301,28512.411764705903,28947.242647058796,29382.073529411806,29816.9044117647,30251.73529411771,30686.566176470602,31121.397058823495,31556.227941176505,31991.058823529398,32425.889705882408,32860.7205882353,33295.55147058831,33730.382352941204,34165.2132352941,34600.04411764711,35034.875,35469.70588235301,35904.5367647059,36339.367647058796,36774.198529411806,37209.0294117647,37643.86029411771,38078.6911764706,38513.522058823495,38948.352941176505,39383.1838235294,39818.01470588241,40252.8455882353,40687.67647058831,41122.507352941204,41557.3382352941,41992.16911764711,42427.0,42861.83088235301,43296.6617647059,43731.492647058796,44166.323529411806,44601.1544117647,45035.98529411771,45470.8161764706,45905.647058823495,46340.477941176505,46775.3088235294,47210.13970588241,47644.9705882353
JEJU,4621.882352941146,4739.254901960754,4856.6274509803625,4973.999999999971,5091.372549019579,5208.745098039188,5326.117647058796,5443.490196078405,5560.862745098013,5678.235294117621,5795.60784313723,5912.980392156838,6030.352941176447,6147.725490196055,6265.098039215663,6382.470588235272,6499.84313725488,6617.215686274489,6734.588235294097,6851.9607843137055,6969.333333333314,7086.705882352922,7204.078431372531,7321.450980392139,7438.823529411748,7556.196078431356,7673.568627450964,7790.941176470573,7908.313725490181,8025.68627450979,8143.058823529398,8260.431372549006,8377.803921568615,8495.176470588223,8612.549019607832,8729.92156862744,8847.294117647049,8964.666666666657,9082.039215686265,9199.411764705874,9316.784313725482,9434.15686274509,9551.529411764699,9668.901960784307,9786.274509803916,9903.647058823524,10021.019607843133,10138.392156862741,10255.76470588235,10373.137254901958,10490.509803921566,10607.882352941146
